male,female,word,p_w,p_w_male,p_w_female,PMI_male,PMI_female,NPMI_male,NPMI_female
1,4,ggmbh,3.6630841703480663e-5,9.11917854439672e-6,1.4904240256352933e-4,-1.1715837413889432,3.0298241340512906,-0.05000530552432092,0.146826971713993
1,4,rehabilitation,3.6630841703480663e-5,9.11917854439672e-6,1.4904240256352933e-4,-1.1715837413889432,3.0298241340512906,-0.05000530552432092,0.146826971713993
1,4,berlin-lichtenberg,3.6630841703480663e-5,9.11917854439672e-6,1.4904240256352933e-4,-1.1715837413889432,3.0298241340512906,-0.05000530552432092,0.146826971713993
1,4,medizinisch-techn,3.6630841703480663e-5,9.11917854439672e-6,1.4904240256352933e-4,-1.1715837413889432,3.0298241340512906,-0.05000530552432092,0.146826971713993
1,4,verpasst,3.6630841703480663e-5,9.11917854439672e-6,1.4904240256352933e-4,-1.1715837413889432,3.0298241340512906,-0.05000530552432092,0.146826971713993
1,4,attac,3.6630841703480663e-5,9.11917854439672e-6,1.4904240256352933e-4,-1.1715837413889432,3.0298241340512906,-0.05000530552432092,0.146826971713993
2,6,praktiziert,5.860934672556906e-5,1.823835708879344e-5,2.23563603845294e-4,-0.9484401900747332,2.9652856129137195,-0.04171527340763022,0.14657955012625354
2,6,lernbehindert,5.860934672556906e-5,1.823835708879344e-5,2.23563603845294e-4,-0.9484401900747332,2.9652856129137195,-0.04171527340763022,0.14657955012625354
14,22,englisch,2.6374206026506076e-4,1.276684996215541e-4,8.197332140994113e-4,-0.5066074377956942,2.760491200267706,-0.024367688095361897,0.14582172389378215
12,19,freie,2.271112185615801e-4,1.0943014253276065e-4,7.079514121767642e-4,-0.5112263836519886,2.7634194600467943,-0.024408875955926772,0.14485461560128643
3,7,wahlgang,7.326168340696133e-5,2.735753563319016e-5,2.608242044861763e-4,-0.7661186332807787,2.896292741426768,-0.03430805446394521,0.1442684235546451
7,12,berufstat,1.3919719847322652e-4,6.383424981077704e-5,4.47127207690588e-4,-0.5606746590659698,2.79343535598706,-0.026098188717224337,0.1429838065298851
