female,male,word,p_w,p_male_w,p_female_w,PMI_male,PMI_female
1,31,zulass,1.585964216682361e-4,1.5364028349110372e-4,4.956138177132378e-6,0.023463332344507017,-0.15659444768740355
7,109,saarland,5.749120285473559e-4,5.402190613074293e-4,3.469296723992665e-5,0.023331514124188865,-0.12218622436498527
1,30,bhe,1.5364028349110372e-4,1.4868414531397136e-4,4.956138177132378e-6,0.023257915116051735,-0.1539952663068482
25,282,prasident,0.0015215344203796401,0.0013976309659513308,1.2390345442830946e-4,0.023252344112960226,-0.1061603102664111
2,45,verdienstkreuz,2.3293849432522179e-4,2.2302621797095704e-4,9.912276354264757e-6,0.02310746521515818,-0.13921924724205026
1,29,west,1.4868414531397136e-4,1.4372800713683897e-4,4.956138177132378e-6,0.023043143780766023,-0.15131085083542442
1,29,cdu-fraktion,1.4868414531397136e-4,1.4372800713683897e-4,4.956138177132378e-6,0.023043143780766023,-0.15131085083542442
1,29,badisch,1.4868414531397136e-4,1.4372800713683897e-4,4.956138177132378e-6,0.023043143780766023,-0.15131085083542442
1,29,bayernpartei,1.4868414531397136e-4,1.4372800713683897e-4,4.956138177132378e-6,0.023043143780766023,-0.15131085083542442
1,28,schrift,1.4372800713683897e-4,1.387718689597066e-4,4.956138177132378e-6,0.0228181685882994,-0.1485354210834935
1,28,maschinenschloss,1.4372800713683897e-4,1.387718689597066e-4,4.956138177132378e-6,0.0228181685882994,-0.1485354210834935
1,28,meist,1.4372800713683897e-4,1.387718689597066e-4,4.956138177132378e-6,0.0228181685882994,-0.1485354210834935
1,28,oberst,1.4372800713683897e-4,1.387718689597066e-4,4.956138177132378e-6,0.0228181685882994,-0.1485354210834935
1,28,buroleit,1.4372800713683897e-4,1.387718689597066e-4,4.956138177132378e-6,0.0228181685882994,-0.1485354210834935
2,43,allerding,2.2302621797095704e-4,2.1311394161669227e-4,9.912276354264757e-6,0.022749303908379342,-0.1354450668644438
7,103,aufnahm,5.451751994845616e-4,5.10482232244635e-4,3.469296723992665e-5,0.022694314306313666,-0.11701435154059321
3,56,doktor,2.924121524508103e-4,2.775437379194132e-4,1.4868414531397136e-5,0.022662105441690058,-0.12827792401170013
2,41,kohl,2.1311394161669227e-4,2.0320166526242752e-4,9.912276354264757e-6,0.022367106430108596,-0.13149927501739328
2,41,freier,2.1311394161669227e-4,2.0320166526242752e-4,9.912276354264757e-6,0.022367106430108596,-0.13149927501739328
1,26,diplom-verwaltungswirt,1.3381573078257423e-4,1.2885959260544184e-4,4.956138177132378e-6,0.022333618013552027,-0.14268526600576958
1,26,chef,1.3381573078257423e-4,1.2885959260544184e-4,4.956138177132378e-6,0.022333618013552027,-0.14268526600576958
11,139,staatswissenschaft,0.00074342072656985675,6.889032066214006e-4,5.4517519948456164e-5,0.02219880958609247,-0.10795439900903299
3,53,verwaltungsdien,2.775437379194132e-4,2.6267532338801605e-4,1.4868414531397136e-5,0.022162166258716004,-0.12358338650224829
1,25,bevollmachtigt,1.2885959260544184e-4,1.2390345442830946e-4,4.956138177132378e-6,0.022071687874616112,-0.13959556586067676
1,25,besatzungszon,1.2885959260544184e-4,1.2390345442830946e-4,4.956138177132378e-6,0.022071687874616112,-0.13959556586067676
1,25,land-,1.2885959260544184e-4,1.2390345442830946e-4,4.956138177132378e-6,0.022071687874616112,-0.13959556586067676
1,25,weizsack,1.2885959260544184e-4,1.2390345442830946e-4,4.956138177132378e-6,0.022071687874616112,-0.13959556586067676
1,25,genomm,1.2885959260544184e-4,1.2390345442830946e-4,4.956138177132378e-6,0.022071687874616112,-0.13959556586067676
1,25,norddeutsch,1.2885959260544184e-4,1.2390345442830946e-4,4.956138177132378e-6,0.022071687874616112,-0.13959556586067676
1,25,bau-,1.2885959260544184e-4,1.2390345442830946e-4,4.956138177132378e-6,0.022071687874616112,-0.13959556586067676
1,25,bezirksleit,1.2885959260544184e-4,1.2390345442830946e-4,4.956138177132378e-6,0.022071687874616112,-0.13959556586067676
42,398,zuletzt,0.0021807007979382466,0.001972542994498687,2.0815780343955988e-4,0.022068969557708994,-0.09391672377122032
3,52,industrie-,2.725875997422808e-4,2.577191852108837e-4,1.4868414531397136e-5,0.021986476280362217,-0.1219624738046753
2,39,tschechoslowakei,2.0320166526242752e-4,1.9328938890816275e-4,9.912276354264757e-6,0.02195770073151525,-0.1273655188902841
36,349,landwirtschaft,0.0019081131981959656,0.0017296922238192,1.7842097437676562e-4,0.021951338166084862,-0.09462831000886744
3,51,machtubernahm,2.6763146156514846e-4,2.527630470337513e-4,1.4868414531397136e-5,0.021805880845877847,-0.12031181793577506
1,24,wirtschaftsrat,1.2390345442830946e-4,1.1894731625117709e-4,4.956138177132378e-6,0.02179478859459054,-0.13638467052411754
1,24,sa,1.2390345442830946e-4,1.1894731625117709e-4,4.956138177132378e-6,0.02179478859459054,-0.13638467052411754
1,24,regierungsprasident,1.2390345442830946e-4,1.1894731625117709e-4,4.956138177132378e-6,0.02179478859459054,-0.13638467052411754
1,24,arbeitgeberverband,1.2390345442830946e-4,1.1894731625117709e-4,4.956138177132378e-6,0.02179478859459054,-0.13638467052411754
1,24,hochverrat,1.2390345442830946e-4,1.1894731625117709e-4,4.956138177132378e-6,0.02179478859459054,-0.13638467052411754
1,24,heraus,1.2390345442830946e-4,1.1894731625117709e-4,4.956138177132378e-6,0.02179478859459054,-0.13638467052411754
165,1220,zweit,0.006864251375328344,0.006046488576101502,8.177627992268425e-4,0.021715442994097823,-0.08082177552555214
